 -1156 , -15805,    128 
 -1156 , -16833,  -1413 
 -1413 , -16062,    128 
 -1413 , -16062,   -385 
 -1413 , -16062,   -385 
 -1413 , -15805,   -128 
  -899 , -15805,    385 
   385 , -15548,    128 
   899 , -15805,    128 
   385 , -16062,   -899 
  -385 , -15034,  -2441 
 -1413 , -15291,  -1670 
 -1413 , -16062,   -385 
  -385 , -16062,  -1156 
  -128 , -16062,  -2184 
  -385 , -15548,  -2955 
  -385 , -14520,  -3469 
 -1156 , -14520,  -3983 
  -128 , -15291,  -4754 
  -385 , -15034,  -4240 
   385 , -15291,  -3983 
   128 , -15034,  -3983 
  1670 , -15291,  -3469 
   899 , -14777,  -3983 
  1156 , -14263,  -4497 
   899 , -15034,  -4240 
   642 , -15548,  -3726 
  1927 , -15548,  -3983 
  2698 , -15034,  -3726 
  3983 , -12978,  -3726 
  3469 , -14006,  -3212 
  3469 , -15034,  -2955 
  4497 , -14006,  -2698 
  5268 , -14777,  -3469 
  5011 , -15548,  -3212 
  5782 , -15548,  -3469 
  6039 , -14777,  -3469 
  5525 , -14777,  -2184 
  5525 , -14006,  -1927 
  6810 , -13492,  -2698 
  6039 , -14006,  -1927 
  6553 , -13749,  -2184 
  6810 , -13492,  -2698 
  7838 , -14006,  -2955 
  7838 , -15034,  -2698 
  7838 , -15291,  -2955 
  7838 , -15291,  -2955 
  7581 , -16062,  -3212 
  6810 , -16319,  -2698 
  6810 , -16062,  -2698 
  6296 , -15805,  -2698 
  6039 , -15548,  -2184 
  6553 , -15034,  -2441 
  5782 , -14777,  -1413 
  5268 , -15805,   -128 
  5782 , -14777,    128 
  6039 , -14263,   -385 
  4240 , -14006,    899 
  2698 , -13492,   1670 
  3469 , -11693,   -128 
  4497 , -10665,  -1670 
  3469 , -11950,   -385 
  4240 , -11950,   -385 
  8609 , -10151,  -1413 
 10408 , -13235,   -128 
  9637 , -15291,    385 
  9637 , -16576,    128 
 10408 , -15548,   -642 
  9380 , -15548,   -642 
  6810 , -15034,   -642 
  5525 , -13749,  -1413 
  5011 , -12978,  -1670 
  4754 , -12464,  -1156 
  5525 , -12207,    385 
  6039 , -11179,   1670 
  6810 , -10151,   2184 
  8352 , -10151,   1413 
  8352 , -11950,   1670 
  8866 , -14263,    642 
 10922 , -14777,    385 
 11179 , -14006,   -385 
  9380 , -14777,  -1927 
  9894 , -13749,  -3469 
  7838 , -14006,  -1927 
  8866 , -10922,  -1670 
 10922 , -10151,  -3469 
 10665 , -13235,   -385 
  9380 , -11693,  -1670 
  8609 ,  -6039,  -4240 
  7581 , -10408,  -5011 
  9123 , -11436,  -3726 
 11950 , -11950,  -2441 
  8609 , -12978,  -5268 
  9894 , -10922,  -5268 
 10922 , -10665,  -5268 
  8866 , -12721,  -3469 
 11179 ,  -9894,  -5011 
  9380 , -10665,  -2698 
  9380 , -10665,  -3983 
  9380 , -10665,  -4240 
  7067 , -11693,  -3212 
  8866 , -10151,  -3212 
 14006 , -15805,  -4497 
  8866 , -15034,   -642 
 12207 ,  -9123,  -2698 
 10151 ,  -9894,  -4240 
 10665 ,  -9637,  -6296 
 10408 , -10151,  -4240 
 13235 ,  -8095,  -4240 
 12207 ,  -9380,  -3469 
 10151 , -10922,  -3212 
 12721 ,  -8609,  -4754 
 10151 , -10922,  -3212 
  9123 , -11693,  -3212 
  9637 , -10922,  -4497 
 11436 ,  -9894,  -5268 
  9380 , -11179,  -4240 
  8609 , -11950,  -4754 
 10922 ,  -9894,  -7067 
  6553 , -11693,  -5782 
  6296 , -12464,  -5782 
  5268 , -13235,  -5782 
  4240 , -13749,  -6039 
  3469 , -14263,  -6039 
  2955 , -14263,  -6039 
  3469 , -14006,  -5782 
  2441 , -14006,  -6553 
  2955 , -13749,  -7067 
  -899 , -13235,  -6810 
  1413 , -13749,  -6810 
  1156 , -13749,  -7067 
 -2441 , -12721,  -7838 
  1156 , -12978,  -8866 
  1927 , -13235,  -9380 
 -2184 , -10408, -11436 
  -128 , -13492,  -7324 
  3983 , -12721,  -8866 
  -642 , -12464,  -8609 
  1156 , -12721,  -8609 
  -128 , -12721,  -9380 
   385 , -12464,  -9123 
  1156 , -12207,  -9380 
   642 , -12207,  -8866 
   128 , -12207,  -8866 
  -128 , -12721,  -8609 
  -128 , -12978,  -8095 
   385 , -13749,  -7324 
   128 , -13235,  -7067 
  1156 , -14263,  -6039 
  -642 , -15034,  -5011 
  -128 , -14520,  -5525 
  -642 , -14777,  -4240 
  -385 , -15034,  -3983 
  -385 , -15805,  -3469 
  -385 , -15291,  -3212 
  -128 , -15805,  -2184 
  -899 , -15291,  -1927 
  -385 , -15805,  -1413 
  -899 , -15805,   -642 
  -899 , -16062,   -899 
  -899 , -16062,   -899 
  -899 , -16576,    385 
 -1413 , -16833,    899 
  -642 , -16319,    385 
  -899 , -16062,    385 
