 -1670 , -15805,    642 
 -1927 , -15805,   1156 
 -1927 , -15805,   1670 
 -2441 , -15548,   1413 
 -2698 , -15805,   1927 
 -2698 , -15805,   1670 
 -2698 , -15805,   1670 
 -2441 , -16319,   1156 
 -2698 , -16576,    642 
 -2698 , -17090,    385 
 -2955 , -17604,   -128 
 -2698 , -17604,   -128 
 -3469 , -18118,    385 
 -4240 , -18375,    385 
 -4754 , -17861,    642 
 -4754 , -17347,    642 
 -5782 , -17347,   1413 
 -6296 , -17861,   1413 
 -7067 , -18118,   1156 
 -7581 , -17861,   1156 
 -8095 , -17347,    899 
 -8609 , -16319,    642 
 -9123 , -15548,    128 
 -9637 , -13749,   -128 
-10151 , -12978,   -128 
-10922 , -11179,    128 
-11693 ,  -9637,   -642 
-11436 , -10665,  -1413 
-12721 ,  -9380,  -1413 
-10922 ,  -7838,   -128 
-11179 ,  -8866,    642 
-11693 ,  -7067,   1156 
-10408 ,  -6810,   1413 
-10665 ,  -7067,    385 
 -9637 ,  -6296,   -899 
 -9380 ,  -7581,   -899 
 -9380 ,  -9123,   -642 
 -8609 ,  -9380,    128 
 -7838 ,  -9380,    385 
 -7324 , -10408,  -1927 
 -6553 , -12464,  -2184 
 -6039 , -14006,  -2184 
 -5268 , -14006,  -2698 
 -5525 , -14006,  -2184 
 -5782 , -13749,  -1413 
 -5525 , -13749,    642 
 -6296 , -14520,   1413 
 -6296 , -15548,    642 
 -6296 , -15034,   2184 
 -5782 , -15548,   2441 
 -5782 , -16319,    899 
 -4497 , -16319,   -128 
 -4240 , -15805,    899 
 -3726 , -16576,   2184 
 -3983 , -17861,   2955 
 -3726 , -18118,   2955 
 -2955 , -16319,    899 
 -1927 , -15034,   -385 
 -2441 , -13492,   -899 
 -2184 , -13492,   1156 
 -2955 , -13492,   2955 
 -2955 , -13492,   2955 
 -3212 , -15034,   2955 
 -4754 , -18118,   1156 
 -3212 , -19146,   -128 
   128 , -18118,   -899 
 -1413 , -15805,    899 
