 -1156 , -15805,    899 
  -128 , -16319,    899 
 -1670 , -16576,   1670 
 -1670 , -16062,   1156 
 -2441 , -17090,   3212 
 -2955 , -17090,   2955 
 -2955 , -17090,   2955 
 -3212 , -16833,   3726 
 -2441 , -14777,   3726 
 -3212 , -14520,   2441 
 -3726 , -16062,   4754 
 -4240 , -17090,   5011 
 -4240 , -17347,   5525 
 -4497 , -17861,   5525 
 -4497 , -18118,   5011 
 -4497 , -17861,   4754 
 -4240 , -17347,   4240 
 -4754 , -16833,   3469 
 -5011 , -18375,   2698 
 -4497 , -17347,   2955 
 -4240 , -16319,   2955 
 -4497 , -16833,   1156 
 -4754 , -16319,    642 
 -3726 , -15291,   -385 
 -3469 , -13749,  -1413 
 -2955 , -13749,  -1156 
 -3212 , -13235,  -1670 
 -3983 , -13235,  -1156 
 -3726 , -14006,  -1413 
 -4240 , -14006,   -128 
 -4497 , -14520,    385 
 -4754 , -13749,   -128 
 -4240 , -13749,   -642 
 -3469 , -13235,  -1413 
 -3983 , -12464,   -899 
 -3983 , -11950,  -1156 
 -3983 , -12207,  -1156 
 -3469 , -12721,   -899 
 -2955 , -11950,   -642 
 -2184 , -12464,   -128 
 -2184 , -13492,    385 
 -1927 , -14777,    899 
  -642 , -16576,   1413 
  -128 , -17090,   1927 
 -1156 , -16833,   2698 
 -2184 , -15805,   2955 
 -2184 , -15548,   2698 
 -1927 , -15548,   2184 
 -1927 , -15548,   2441 
 -1670 , -15291,   2698 
 -2184 , -15548,   2441 
 -2184 , -15548,   2441 
 -2441 , -16833,   3983 
 -1156 , -16062,   4497 
 -2955 , -16319,   2441 
 -2184 , -15548,   1927 
 -1413 , -15291,    899 
